ID,value
0,0.0
1,4.919980925828125
2,3.9889840465642745
3,3.2188758248682006
4,1.6094379124341003
5,0.0
6,1.0986122886681098
7,1.9459101490553132
8,1.9459101490553132
9,1.6094379124341003
10,2.772588722239781
11,2.6390573296152584
12,2.3978952727983707
13,2.5649493574615367
14,4.30406509320417
15,3.044522437723423
16,3.4965075614664802
17,3.8501476017100584
18,3.58351893845611
19,4.382026634673881
20,3.8501476017100584
21,3.828641396489095
22,3.367295829986474
23,2.70805020110221
24,0.6931471805599453
25,0.0
26,1.6094379124341003
27,2.1972245773362196
28,2.1972245773362196
29,1.791759469228055
30,0.6931471805599453
31,2.1972245773362196
32,1.3862943611198906
33,1.0986122886681098
34,1.6094379124341003
35,1.0986122886681098
36,0.6931471805599453
37,1.3862943611198906
38,1.6094379124341003
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.6931471805599453
45,1.0986122886681098
46,0.6931471805599453
47,1.6094379124341003
48,1.0986122886681098
49,0.0
50,0.0
51,2.70805020110221
52,0.6931471805599453
53,0.0
54,0.0
55,1.3862943611198906
56,2.302585092994046
57,1.0986122886681098
58,1.3862943611198906
59,1.6094379124341003
60,2.0794415416798357
61,2.995732273553991
62,3.4657359027997265
63,3.091042453358316
64,3.2188758248682006
65,2.8903717578961645
66,3.4011973816621555
67,3.5263605246161616
68,4.532599493153256
69,3.332204510175204
70,0.0
71,1.9459101490553132
72,2.0794415416798357
73,2.4849066497880004
74,2.6390573296152584
75,2.833213344056216
76,1.9459101490553132
77,2.3978952727983707
78,2.6390573296152584
79,2.6390573296152584
80,3.1354942159291497
81,4.23410650459726
82,0.0
83,2.772588722239781
84,3.6375861597263857
85,3.4339872044851463
86,3.295836866004329
87,3.713572066704308
88,3.4657359027997265
89,2.3978952727983707
90,2.3978952727983707
91,3.828641396489095
92,3.091042453358316
93,4.2626798770413155
94,1.9459101490553132
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,1.6094379124341003
105,2.0794415416798357
106,1.6094379124341003
107,2.1972245773362196
108,1.6094379124341003
109,2.0794415416798357
110,2.302585092994046
111,2.1972245773362196
112,1.9459101490553132
113,2.5649493574615367
114,1.0986122886681098
115,1.0986122886681098
116,0.0
117,0.0
118,0.0
119,1.6094379124341003
120,2.0794415416798357
121,2.8903717578961645
122,1.791759469228055
123,1.791759469228055
124,1.791759469228055
125,1.9459101490553132
126,1.0986122886681098
127,1.6094379124341003
128,2.3978952727983707
129,4.127134385045092
130,3.332204510175204
131,2.4849066497880004
132,2.5649493574615367
133,3.044522437723423
