92,2
185,1
273,1
287,1
314,1
395,1
589,1
696,1
699,1
721,1
728,1
739,1
788,1
792,1
867,1
891,1
922,1
923,1
924,2
926,2
934,1
943,1
972,1
973,1
975,2
976,1
985,3
1002,1
1017,2
1018,1
1023,1
1031,1
1033,1
1038,1
1058,1
1062,1
1069,2
1073,1
1102,2
1104,1
1107,1
1110,2
1111,1
1140,1
1142,1
1145,2
1146,1
1154,1
1155,1
1214,1
1224,1
1249,2
1291,1
1292,1
1369,1
1408,2
1455,3
1458,1
1499,1
1510,1
1512,1
1513,1
1518,1
1531,2
1558,1
1562,1
1573,1
1576,1
1583,2
1590,1
1670,1
1676,1
1680,2
1686,1
1734,1
1787,1
1793,1
1807,1
1810,2
1829,1
1837,1
1879,1
1881,1
1882,1
1894,1
1895,2
1902,2
1904,1
1905,1
1906,1
1923,1
1932,1
1936,1
1941,1
1942,1
1943,4
1956,1
1957,1
1958,1
1967,2
1976,1
1990,1
1991,1
1997,1
2024,2
2043,1
2056,1
2058,3
2061,1
2070,1
2079,2
2116,1
2129,1
2146,1
2167,1
2169,1
2174,1
2212,1
2244,1
2246,1
2296,1
2354,2
2379,1
2380,1
2418,1
2420,1
2453,1
2454,1
2458,1
2600,1
2608,1
2636,2
