1,4
2,4
3,1
12,2
13,3
14,1
15,10
16,7
17,1
18,9
19,1
20,1
21,3
28,2
35,1
37,1
39,1
47,1
58,1
60,2
61,1
65,3
66,4
67,2
68,3
71,1
72,2
73,1
74,2
75,1
76,2
77,2
78,4
79,2
80,3
83,2
85,3
86,7
87,6
89,1
90,2
91,3
92,6
93,1
105,1
106,1
110,1
112,2
113,1
120,1
126,1
128,2
129,1
130,2
131,2
132,1
133,2
134,4
135,1
136,3
137,2
138,2
139,1
141,2
142,5
150,1
164,1
165,1
166,1
174,1
180,3
182,1
183,1
184,2
190,2
191,1
193,5
200,1
209,1
210,2
212,4
215,2
216,2
231,1
232,3
234,2
235,1
236,5
242,1
243,3
244,3
245,1
254,3
255,1
256,2
269,2
271,1
275,1
276,1
284,1
285,1
286,6
287,1
290,1
298,1
300,3
301,2
303,2
306,2
307,4
310,1
311,1
312,1
313,1
314,3
315,1
316,2
317,2
319,1
320,1
323,1
325,2
327,3
328,4
329,8
330,1
331,2
340,1
356,1
358,1
362,6
363,1
364,1
367,1
369,1
370,1
371,3
372,4
374,1
376,3
378,2
379,4
380,3
382,1
383,3
386,3
387,2
388,1
391,2
392,2
393,3
394,9
395,14
396,4
397,4
398,1
420,1
421,1
424,1
426,1
428,1
429,2
431,1
433,1
435,1
436,1
437,1
439,1
442,1
443,1
447,1
450,6
451,1
452,2
465,1
467,1
468,1
469,2
471,1
472,3
476,5
477,3
478,3
479,1
481,2
483,1
484,1
485,2
486,2
487,1
488,1
489,1
490,1
495,1
496,1
498,1
499,1
500,4
501,2
502,4
503,4
504,1
513,1
516,1
517,1
519,2
520,1
527,3
531,2
533,2
534,1
535,3
536,2
537,2
545,1
546,2
551,1
552,3
554,1
555,8
565,1
567,1
570,1
571,2
574,2
575,2
577,1
578,1
580,3
581,1
582,2
583,5
585,5
586,2
587,4
588,3
589,4
590,2
591,1
592,2
593,2
597,1
598,2
599,1
601,2
603,1
604,3
605,2
606,2
607,3
608,1
609,2
615,2
616,2
617,2
618,6
619,1
620,5
621,2
622,2
623,5
624,1
625,2
627,2
631,1
632,1
633,1
634,5
635,1
636,1
638,2
645,4
647,1
648,2
649,1
650,4
651,3
653,1
654,1
655,1
656,2
657,3
658,4
659,2
660,2
661,7
662,2
663,3
664,1
666,3
667,1
668,3
670,1
674,1
676,5
677,3
681,2
682,1
684,2
685,4
686,1
688,2
689,4
690,1
691,3
693,4
694,2
695,3
696,2
698,2
699,1
700,3
701,5
702,2
703,4
705,3
706,1
708,3
713,4
715,1
716,5
717,1
722,1
726,1
728,1
729,2
731,4
732,1
733,2
734,2
735,1
736,1
737,2
738,4
739,3
740,2
741,3
742,2
743,6
744,2
745,2
746,1
747,2
748,4
750,4
753,1
754,1
755,1
758,2
759,2
760,4
761,2
762,1
764,1
766,1
769,1
770,1
771,2
772,1
773,2
774,1
775,2
776,3
777,3
778,4
779,6
780,1
782,1
783,2
784,1
785,2
786,3
787,5
788,4
